hour_of_week,day_of_week,hour,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
119,Fri,23,193.0335536,818.2016872,1121.0050408,292.1848056,488.7489144,234.6475088,2271.1954072,564.6379296,1230.7300368,2035.6518184,170.0670232
120,Sat,0,173.0509696,750.0906464,1061.5501328,262.3363808,508.3820272,212.5322544,2184.4817456,550.103512,1155.1636104,1963.5173784,152.5934632
121,Sat,1,160.308712,732.5812432,1048.3150312,255.7233104,489.170072,197.5318752,2182.9584096,538.6964136,1163.3089776,1946.3932896,142.6648968
122,Sat,2,162.0381464,734.964816,1051.3617032,260.3470832,496.8853208,194.135732,2205.9876656,418.6664976,1162.6817216,1964.9152632,137.2167304
123,Sat,3,164.2335424,745.8342664,1054.46214,276.0643264,521.4379128,201.0982736,2243.0495344,599.7642656,1175.7644896,2003.7424096,148.9105744
124,Sat,4,188.6875656,802.394836,1106.255564,326.4329832,665.6440672,231.18864,2336.663012,630.1413776,1234.9953776,2068.6723664,171.2319272
125,Sat,5,218.2940488,949.1548184,1280.4445552,408.6393624,798.3266328,276.843916,2506.1207008,773.8905312,1380.5635736,2264.214944,204.2972792
126,Sat,6,213.8584528,1122.5552592,1474.2128944,459.5277456,857.8442664,307.893088,2728.4023056,830.4242184,1619.978228,2490.9769488,222.67588
127,Sat,7,250.7500664,1165.307236,1525.3880232,468.64984,892.7017784,327.6426912,2860.4576152,831.6428872,1650.0506728,2629.5288384,244.047388
128,Sat,8,258.7968648,1125.1807736,1578.265704,435.7368216,883.1226832,323.171252,2952.314776,786.7313576,1704.0394928,2631.4554104,252.4078144
129,Sat,9,263.6805008,1069.3460288,1601.4652152,433.3084448,873.2658032,319.049284,2965.8814272,725.6187016,1626.519612,2511.577828,259.459964
130,Sat,10,272.85636,998.9858272,1589.332292,431.1220096,856.3119696,318.6729304,2917.770892,716.2009008,1579.3589216,2319.8077472,251.9508136
131,Sat,11,262.6141656,987.1575712,1566.2671928,417.931712,816.5170568,308.117108,2807.8935624,644.0575,1594.6012424,2210.360536,243.3574064
